City,Humidity (%),Latitude,Max Temperature (F),Cloudiness (%),Wind Speed (mph)
bredasdorp,86,-34.53,45.0,69,5.82
nouadhibou,77,20.93,69.8,0,11.41
anapolis,87,55.81,54.41,0,3.91
rocha,92,-34.48,60.53,67,12.37
lichtenburg,39,-26.15,32.99,46,12.59
beloha,78,-25.17,63.77,100,11.95
vaini,94,15.34,75.2,75,6.93
faanui,78,-16.48,77.27,41,18.25
albany,88,42.65,75.0,90,6.93
batemans bay,48,-35.71,68.0,0,4.0
saurimo,32,-9.66,57.29,0,6.58
kirakira,81,-10.46,79.25,43,19.17
tiksi,68,71.64,40.37,40,17.16
carupano,90,10.67,70.97,0,2.53
morondava,65,-20.3,72.95,0,4.72
gazanjyk,65,39.24,81.95,0,16.51
ust-kut,48,56.78,67.55,100,3.87
westport,78,41.14,84.99,1,5.82
hanyang,79,32.14,82.0,45,3.67
acapulco,74,16.86,86.0,90,8.05
bulgan,59,48.81,69.17,16,5.3
ponta delgada,88,37.73,69.8,20,9.17
esperance,59,-33.86,62.6,75,24.16
mackay,72,53.65,68.0,20,2.24
henties bay,96,-22.12,52.0,0,7.0
sao filipe,79,14.9,72.77,100,12.68
waingapu,52,-9.65,81.77,60,14.54
hovd,59,63.83,66.2,40,17.22
kozhva,68,65.11,64.49,0,2.64
longyearbyen,75,78.22,42.8,75,16.11
victoria,66,5.28,89.6,75,4.7
paamiut,93,61.99,42.17,81,12.39
cidreira,84,-30.17,61.97,0,11.79
carbondale,74,38.82,87.8,1,10.29
mersing,54,2.43,88.25,100,4.5
hamilton,100,43.26,73.99,90,9.17
sao geraldo do araguaia,61,-6.4,74.39,55,3.0
broome,93,52.47,57.99,54,5.82
cherskiy,43,68.75,54.05,97,11.39
san patricio,72,-26.98,69.71,0,14.07
ronfe,100,41.44,61.0,0,3.36
ajdabiya,75,30.75,74.57,0,13.27
desaguadero,80,-16.56,36.95,100,3.02
narsaq,76,60.91,50.0,100,4.7
grindavik,87,63.84,55.4,75,9.17
new norfolk,41,-42.78,59.0,20,27.51
puerto ayora,93,-0.74,70.0,8,1.01
kuching,100,1.56,75.2,90,2.24
lora del rio,57,37.66,77.0,0,4.7
carnarvon,71,-30.97,32.63,95,13.13
ouallam,58,14.32,85.01,16,9.91
georgetown,100,6.8,75.2,40,2.24
port-gentil,82,-0.72,75.11,100,9.46
tocopilla,84,-22.09,57.29,69,3.89
berlevag,83,70.86,50.09,0,3.31
imeni poliny osipenko,91,52.42,58.91,100,8.37
appenzell,82,47.33,68.0,90,8.05
chilliwack,64,49.17,73.99,1,5.82
kaitangata,92,-46.28,50.0,100,10.0
klyuchi,60,52.25,74.03,31,8.28
praya,61,-8.71,82.4,75,16.11
armizonskoye,82,55.95,70.07,97,3.06
burgeo,94,47.61,58.01,0,9.86
dingle,71,11.0,86.09,100,4.81
brae,93,60.4,53.6,59,14.99
coquimbo,87,-29.95,53.6,100,3.36
upernavik,95,72.79,44.51,100,4.34
saint stephen,100,45.7,64.99,1,7.61
almenara,97,-16.17,58.37,56,2.91
codrington,37,-28.95,71.6,0,2.24
byron bay,64,-28.65,72.0,0,12.75
broken hill,48,-31.97,60.8,40,11.41
eldorado,97,-24.52,55.67,18,1.72
hithadhoo,78,-0.6,82.85,100,15.75
severo-kurilsk,94,50.68,46.13,77,12.62
totness,74,33.74,82.99,1,3.36
nador,88,35.17,77.0,40,4.7
saint george,63,39.45,72.0,0,4.7
khatanga,33,71.98,77.81,24,11.43
abrau-dyurso,73,44.7,69.8,75,8.95
vakhrushev,75,48.99,69.71,100,8.63
san fernando,83,10.28,80.01,20,8.66
marzuq,38,14.4,73.49,47,1.9
barrow,88,-38.31,61.97,100,13.78
susanville,32,40.42,80.6,1,11.41
sibolga,79,1.74,81.23,100,14.94
kamenka,89,48.03,59.0,0,2.35
dali,47,34.79,89.51,46,10.78
hobyo,72,5.35,74.93,96,21.61
verkhnevilyuysk,37,63.45,72.41,0,3.24
llanes,97,43.42,66.99,63,3.24
saint-pierre,93,48.95,62.6,0,4.7
luderitz,56,-26.65,59.45,0,3.58
mar del plata,66,-46.43,34.07,0,5.37
kavali,60,14.91,86.81,15,10.25
pathein,75,16.78,85.01,100,2.77
pitimbu,100,-7.47,71.6,75,3.36
tara,94,33.0,80.6,75,12.75
salinas,82,36.67,69.01,1,11.41
giyani,49,-23.32,55.49,100,11.56
airai,45,-8.93,81.95,88,5.06
oranjestad,83,12.52,80.6,20,19.46
nemuro,88,43.32,66.2,75,8.05
anjangaon,60,21.16,87.89,38,7.65
leningradskiy,91,69.38,36.95,90,14.23
erzincan,72,39.75,63.0,0,3.36
rawson,84,-43.3,43.43,100,16.73
san vicente,94,-0.59,71.6,75,10.29
pedernales,90,0.07,73.49,66,16.58
ngunguru,74,-35.62,59.0,5,5.99
yar-sale,56,66.83,71.33,4,2.3
banjar,89,-7.37,74.57,98,3.65
constitucion,59,23.99,63.0,90,12.75
barcelos,95,-0.97,72.77,0,1.5
klaksvik,100,62.23,50.0,100,3.36
najran,23,17.54,77.0,0,4.7
katherine,12,-14.47,87.8,17,8.05
khuzhir,77,53.19,67.73,89,0.96
linden,100,6.01,75.2,40,2.24
acari,82,-6.44,71.33,2,9.55
solnechnyy,78,50.72,75.47,100,4.38
palmer,67,-34.85,60.01,20,13.87
kununurra,39,-15.77,84.2,11,8.05
santa rosa,93,-36.62,53.6,100,3.36
tasiilaq,86,65.61,39.2,100,2.33
sao joao da barra,95,-21.64,60.89,9,2.06
prachuap khiri khan,77,11.81,78.17,96,2.48
kidal,37,18.44,86.99,22,7.16
maragogi,94,-9.01,70.43,61,5.37
beausejour,77,50.06,64.0,20,6.93
vila velha,69,-3.71,86.0,20,11.41
cam ranh,56,11.92,93.2,20,10.29
port alberni,24,49.24,71.6,75,1.19
hofn,98,64.25,39.65,100,6.62
turtas,67,58.94,75.83,91,1.92
hearst,96,49.69,57.65,92,6.24
saldanha,68,41.42,64.13,28,3.62
medicine hat,76,50.04,55.4,75,17.22
dondo,88,-19.62,68.0,75,19.46
qaanaaq,84,77.48,39.83,92,2.66
xining,95,36.62,47.57,100,3.36
kruisfontein,82,-34.0,41.63,0,7.61
ponta do sol,72,-20.63,55.31,100,10.38
dunedin,94,-45.87,49.37,100,14.79
nawa,52,27.02,89.33,59,6.17
cabedelo,100,-6.97,71.6,75,3.36
ribeira grande,82,38.52,72.23,0,24.07
west wendover,20,40.74,87.8,1,7.0
follonica,93,42.93,73.99,0,3.36
bonthe,88,7.53,76.01,87,5.19
ixtapa,66,20.71,84.2,90,3.36
castro,100,-42.48,39.2,75,3.36
springbok,31,-29.67,54.59,53,19.26
chernyshevskiy,36,63.01,68.45,0,9.24
winchester,87,51.06,55.99,4,6.93
zhezkazgan,18,47.8,87.8,75,13.42
anchorage,72,61.22,70.0,90,8.05
kijang,88,35.24,77.0,90,11.41
campobello di mazara,73,37.64,71.6,0,4.7
jackson,40,43.48,69.8,1,2.55
ilulissat,81,69.22,46.4,26,2.24
alofi,78,-19.06,80.6,99,12.75
oistins,78,13.07,80.6,20,14.99
tambo,87,-12.95,40.55,3,1.3
mercedes,84,-33.25,64.99,100,3.0
cururupu,98,-1.82,71.15,31,2.19
abu samrah,74,35.3,68.99,0,9.8
amapa,94,15.09,73.99,90,2.24
isilkul,69,54.9,73.67,74,2.19
pervomayskoye,70,57.07,55.31,92,5.3
shache,78,38.42,81.0,0,15.66
powell river,24,49.84,71.6,75,0.58
basoko,87,1.23,69.71,59,2.1
platanos,88,35.47,80.01,0,4.7
khandyga,30,62.65,66.65,0,4.03
dawei,78,14.07,83.39,100,11.43
senador jose porfirio,69,-2.59,77.63,81,1.88
lai,75,27.82,43.07,74,4.61
cabo san lucas,61,22.89,80.6,40,11.41
margate,41,-43.03,59.0,20,27.51
axim,91,4.87,75.65,100,10.92
magalia,42,39.81,89.6,1,8.39
balsas,50,-7.53,78.17,43,10.04
dehui,88,44.53,73.4,75,11.18
grand-lahou,98,5.24,72.41,98,3.0
pangnirtung,82,66.15,48.29,96,3.96
port blair,88,11.67,80.6,40,4.7
moroto,79,2.53,68.09,73,2.15
belaya gora,47,68.54,60.71,77,10.09
markapur,76,15.74,78.71,42,9.06
srednekolymsk,39,67.46,63.41,16,18.39
ketchikan,59,55.34,64.4,20,11.41
provideniya,90,64.42,51.89,100,10.71
lompoc,82,34.64,64.99,1,8.05
mitsamiouli,68,-11.38,68.0,0,6.93
ostrovnoy,63,68.05,50.27,0,0.89
micomeseng,99,2.15,66.83,90,1.92
knysna,38,-34.04,42.8,0,5.82
pevek,85,69.7,34.61,60,6.69
tuy hoa,56,13.08,87.71,100,6.29
adrar,10,27.87,93.2,0,4.7
sakaiminato,78,35.55,86.0,75,6.93
inta,63,66.04,68.27,66,2.28
tongliao,42,43.61,91.49,100,8.5
port hardy,59,50.7,62.6,75,5.82
kalia,65,23.05,89.33,11,7.36
bambous virieux,93,-20.34,71.01,20,3.36
saint anthony,31,43.97,77.0,1,10.29
flinders,22,-34.58,73.0,0,18.34
rockport,79,28.02,84.2,40,11.41
burnie,75,-41.05,49.01,86,11.41
piacabucu,88,-10.41,72.95,54,10.04
bud,87,62.91,60.8,100,4.7
vestmannaeyjar,92,63.44,51.71,70,4.25
tessalit,36,20.2,86.81,100,5.88
zainsk,87,55.29,60.8,0,6.71
shirokiy,75,53.87,62.01,0,3.0
varhaug,93,58.61,60.8,75,2.24
salalah,94,17.01,78.8,90,2.24
thompson,67,55.74,57.2,40,4.34
thinadhoo,77,0.53,83.21,79,13.69
sistranda,67,63.73,64.0,0,14.99
buala,77,-8.15,81.95,59,11.01
purpe,46,64.48,81.0,100,11.77
znamenskoye,88,57.13,72.95,0,0.38
bukama,42,-9.2,57.65,1,3.11
lumphat,86,13.5,82.49,100,1.1
chicama,88,-7.84,62.6,20,5.82
homer,68,59.64,66.99,90,9.17
worthington,100,43.62,68.0,23,5.82
nizwa,53,22.93,81.59,17,3.74
jieshi,84,22.82,86.0,100,3.0
marienburg,93,52.12,62.01,20,4.7
casablanca,100,33.6,71.6,75,4.7
ancud,100,-41.87,39.2,75,3.36
carutapera,83,-1.2,76.01,0,7.16
cubara,97,7.0,49.91,97,1.39
birganj,67,27.01,89.15,27,9.22
makakilo city,69,21.35,87.8,40,13.87
shimoda,88,34.7,82.4,75,6.93
shubarshi,45,48.59,74.39,0,20.45
neubrandenburg,98,53.56,64.0,41,1.01
richards bay,71,-28.77,61.25,100,34.69
brookhaven,78,40.78,86.0,40,4.7
marsa matruh,69,31.35,78.17,0,11.54
lavrentiya,86,65.58,48.11,100,7.27
manta,69,45.1,60.53,0,1.81
paramonga,89,-10.68,60.89,40,7.34
lira,97,2.25,62.69,50,2.48
rozivka,55,47.51,66.65,0,6.15
kumluca,54,36.37,63.77,0,7.31
acurenam,98,1.03,67.01,97,3.71
palana,97,59.08,47.21,100,14.7
villa carlos paz,88,-31.42,64.99,0,9.17
el carmen,87,-24.39,55.4,0,8.05
stawell,58,-37.06,53.15,0,10.78
tamasopo,95,21.92,66.29,93,5.68
polunochnoye,85,60.87,62.33,100,4.43
walvis bay,87,-22.95,60.8,90,10.29
troitskoye,57,52.98,68.45,0,3.8
aykhal,26,65.95,71.6,0,6.71
san rafael,46,-34.61,50.09,100,1.43
pirojpur,63,22.58,89.87,44,6.89
high level,50,58.52,75.2,1,4.7
mbini,100,1.58,73.4,40,7.09
naples,83,40.84,73.99,0,1.12
biloela,46,-24.4,69.89,18,0.89
sweetwater,33,32.47,88.0,1,12.75
geraldton,87,49.72,60.8,75,5.82
caiaponia,51,-16.96,63.59,81,5.03
havoysund,63,71.0,60.8,17,4.7
juneau,93,58.3,57.2,90,3.36
dabakala,94,8.36,70.43,100,8.57
tandil,97,-37.33,61.0,100,1.99
yumen,51,40.29,69.71,100,10.8
caravelas,77,-17.73,71.33,46,13.27
husavik,69,50.56,62.01,0,4.0
inhambane,76,-23.87,59.81,100,13.24
moron,82,18.56,80.87,0,5.93
kieta,79,-6.22,81.95,6,13.4
kenora,72,49.76,66.2,51,9.17
mahebourg,93,-20.41,71.01,20,3.36
ocos,100,14.51,77.0,75,6.15
nanortalik,97,60.14,39.65,98,3.74
monterey,72,36.6,66.0,75,6.93
guadalajara,41,40.63,82.0,0,1.12
pasni,69,25.26,82.31,22,3.85
passos,64,-20.72,56.75,100,9.42
ndioum,65,16.51,82.4,0,2.24
bay roberts,93,47.58,48.99,90,6.93
beachwood,88,41.46,82.4,90,9.17
forestville,88,48.74,62.6,75,9.17
chinsali,61,-10.55,50.63,0,2.62
maningrida,32,-12.05,84.29,0,12.15
trincomalee,66,8.58,81.95,100,8.23
baykit,37,61.68,63.41,94,13.09
canela,78,-29.36,62.01,0,7.0
seydi,58,13.34,80.51,100,12.3
phayao,82,19.17,78.71,100,3.96
san policarpo,69,12.18,84.83,11,6.22
nome,88,30.04,84.99,40,4.7
le port,82,42.87,69.01,75,3.0
tynda,96,55.15,50.63,100,9.93
saint-augustin,88,45.63,80.01,40,3.76
iqaluit,100,63.75,39.2,90,11.41
kati,94,12.75,75.2,20,5.82
pontianak,77,-0.02,81.95,68,4.9
plouzane,93,48.38,62.01,90,4.7
imbituba,93,-28.24,64.4,40,8.05
gorodishche,58,53.27,64.0,0,6.49
pamekasan,50,-7.16,87.71,52,11.81
la roda,60,39.21,81.0,0,9.17
chihuahua,27,28.66,86.0,20,5.82
benjamin aceval,64,-24.97,73.4,0,10.29
omsukchan,79,62.53,41.81,100,6.55
quang ngai,43,15.12,95.99,38,1.21
karratha,22,-20.74,74.93,0,19.98
hastings,62,-39.64,54.05,7,2.1
plettenberg bay,81,-34.05,40.91,65,6.64
qasigiannguit,81,68.82,46.4,58,2.24
sumbe,83,-11.2,70.61,22,2.57
abha,27,18.22,64.4,0,4.94
upata,84,8.02,77.0,68,4.12
lamu,91,35.77,53.51,100,6.2
havre-saint-pierre,93,50.23,55.4,90,8.05
ayagoz,51,47.96,70.79,0,10.45
lorengau,80,-2.02,82.49,100,9.75
novyy urengoy,57,66.08,73.67,52,5.73
sinnamary,81,5.38,81.05,83,14.97
vardo,83,39.62,86.0,1,3.96
goderich,94,43.74,70.0,100,4.0
ayios nikolaos,39,38.42,79.0,0,13.87
cockburn town,77,21.46,82.49,0,11.5
warwick,74,41.7,84.2,1,4.7
albertville,82,45.68,71.6,40,2.24
shenzhen,74,22.54,87.8,40,11.41
vostochnyy,100,55.82,63.0,75,11.18
wheeling,78,40.06,81.0,1,6.93
fukue,83,35.03,86.0,75,11.41
tosya,63,41.02,51.71,0,2.51
calbuco,93,-41.77,41.0,75,12.75
grand gaube,93,-20.01,71.01,20,3.36
padang,73,-0.92,81.95,100,3.58
sovetskaya gavan,66,48.97,77.45,100,6.15
caratinga,74,-19.79,60.89,90,0.98
buchanan,94,5.88,75.2,75,14.88
laguna,88,16.17,77.0,90,9.17
guangyuan,78,32.43,84.0,97,3.74
ust-abakan,82,53.84,62.6,40,4.07
erenhot,19,43.65,90.77,45,9.24
miri,85,10.31,68.99,66,3.42
manicore,74,-5.81,77.63,60,1.41
atar,27,20.52,92.39,2,9.86
ulladulla,22,-35.36,69.8,0,18.34
bambanglipuro,83,-7.95,76.37,93,14.99
lagoa,50,37.14,75.2,0,5.82
dehloran,12,32.69,89.69,0,8.32
samarai,71,-10.62,79.43,41,7.11
port macquarie,25,-31.43,77.0,0,12.75
russellville,83,35.28,84.0,64,6.93
vila,88,45.18,75.0,0,4.7
tura,36,64.27,67.37,67,9.78
gamba,55,28.28,48.47,0,2.93
te anau,82,-45.41,47.93,98,3.89
sitka,30,37.17,89.33,0,18.9
tommot,41,58.97,64.49,29,11.48
nalut,58,31.86,70.97,0,6.38
poum,78,41.28,56.21,0,1.52
port augusta,45,-32.49,62.6,75,13.87
norman wells,57,65.28,75.2,75,3.36
vershino-shakhtaminskiy,97,51.3,54.23,100,3.91
faya,27,18.39,64.4,0,2.8
tigil,97,57.8,48.65,100,8.55
saint-francois,94,46.42,68.0,90,3.58
bontang,53,0.12,91.67,39,1.34
sorong,90,-0.86,79.79,78,4.85
stromness,100,42.87,78.8,90,8.05
mogadishu,80,2.04,74.57,98,12.93
urengoy,47,65.96,73.85,100,11.21
aksu,61,52.04,78.8,75,4.47
marawi,74,8.0,84.99,88,3.0
melo,88,-32.37,61.79,33,7.58
tezu,92,27.93,75.83,100,3.38
payson,34,40.04,84.2,1,5.46
nacala,92,-14.56,62.51,0,2.98
bom jardim,94,-7.8,68.0,75,3.36
ust-nera,39,64.57,54.77,100,7.52
chumphon,79,10.5,84.2,20,5.82
jalu,50,29.03,73.67,0,8.57
manzhouli,59,49.6,67.91,0,20.51
sawakin,17,19.1,84.47,9,2.89
kalabo,31,-15.0,49.91,0,4.97
bathsheba,78,13.22,80.6,20,14.99
nelson bay,35,-32.72,73.0,0,8.05
aklavik,56,68.22,68.0,90,25.28
xingyi,80,24.19,70.97,100,4.88
murchison,81,-36.62,48.99,100,4.05
conde,95,-11.81,65.39,13,3.36
estelle,94,43.97,71.6,97,4.7
jaru,53,-10.43,77.09,100,4.7
aasiaat,87,68.71,42.89,12,4.92
kavieng,77,-2.57,83.21,100,13.89
elizabeth city,83,36.3,88.0,1,7.65
tawau,66,4.26,87.8,75,2.24
kahului,65,20.89,84.2,75,13.87
san matias,42,-16.36,78.53,100,6.62
el alto,86,-16.5,32.0,75,4.7
dryden,82,49.79,60.8,75,8.05
quesnel,43,52.98,71.6,1,5.82
mandera,66,3.94,73.49,63,9.73
reriutaba,97,-4.14,64.85,12,6.8
kushiro,88,43.11,64.4,75,9.17
morgan city,100,29.7,78.8,1,4.65
pedasi,89,7.53,76.19,38,3.24
labuhan,54,-2.54,89.51,4,2.35
lensk,37,60.71,67.37,0,12.19
aiquile,66,-18.2,56.03,100,3.71
puri,55,-7.54,84.65,10,14.9
dzhebariki-khaya,33,62.22,66.29,0,4.61
lumajang,58,-8.14,73.67,94,2.64
mehamn,70,71.03,53.69,0,2.37
remedios,93,7.03,65.39,59,3.67
hinton,89,53.4,54.95,80,3.22
olbia,88,40.92,66.2,0,2.24
lata,76,30.78,49.91,11,5.21
karpathos,78,35.51,75.2,4,29.97
sri aman,94,1.24,77.0,75,2.24
dudinka,33,69.41,73.4,0,13.42
mendi,96,9.8,61.43,99,5.28
boden,82,65.83,60.8,34,3.36
tansen,77,27.87,77.99,67,1.72
ouargaye,81,11.5,76.19,100,6.98
quelimane,100,-17.88,64.4,22,3.36
quatre cocos,93,-20.21,71.01,20,3.36
isangel,49,-19.55,73.4,20,11.41
canico,68,32.63,71.6,20,21.92
aksarka,58,66.56,69.89,25,3.51
ballina,99,54.11,60.01,100,14.65
jipijapa,94,-1.35,71.6,75,10.29
tarnogskiy gorodok,91,60.5,53.69,95,7.38
churapcha,27,62.0,68.63,0,6.58
bang len,66,14.02,91.99,40,9.17
duluth,88,46.77,69.01,1,6.08
moose factory,100,51.26,44.6,75,3.36
willmar,100,45.12,69.8,1,3.24
pinhao,98,-25.7,52.61,32,2.35
deogarh,80,21.53,81.23,56,5.77
itaueira,60,-7.6,70.97,0,5.01
vuktyl,72,63.86,63.41,52,3.85
iracoubo,95,5.48,73.85,88,4.9
bayan,91,36.1,53.51,100,6.2
dwarka,70,28.58,89.6,18,6.93
desbiens,72,48.42,68.0,75,6.93
luancheng,59,37.88,91.4,68,4.47
tautira,65,-17.73,78.8,20,3.36
cedar city,16,37.68,75.2,1,8.05
portree,91,57.41,55.0,97,10.0
deniliquin,62,-35.53,60.01,100,4.0
ukiah,50,39.15,75.99,0,2.84
eastbourne,100,54.52,54.0,0,1.12
emmett,18,43.87,84.2,1,6.93
smidovich,89,48.6,76.73,100,8.66
verkhnyaya toyma,83,62.24,51.71,8,6.96
avera,74,33.19,84.99,1,3.36
ivanivka,52,46.71,67.91,0,3.13
